lang_pair,src_num_texts,src_num_tokens,src_num_segments,tgt_num_texts,tgt_num_tokens,tgt_num_segments,tot_num_tokens
deu_Latn-heb_Hebr,22311568,206825300,20242021,22311568,172142014,19721597,378967314
ara_Arab-bul_Cyrl,25729765,182336440,12474228,25729765,192460184,24326988,374796624
ell_Grek-nld_Latn,10996346,186320324,9692820,10996346,185087272,9492768,371407596
bul_Cyrl-ron_Latn,10469353,175276410,9406077,10469353,187373487,9315431,362649897
ara_Arab-heb_Hebr,24148104,183182180,11961519,24148104,174524760,23237369,357706940
epo_Latn-fra_Latn,17437641,164639326,14354235,17437641,188372096,15163837,353011422
ell_Grek-rus_Cyrl,12810743,191284779,11089560,12810743,160431875,11028052,351716654
zho_Hani-por_Latn,28762530,32220133,42292942,28762530,318217807,26886743,350437940
fra_Latn-zho_Hani,20922292,314852262,16707905,20922292,34572467,36442959,349424729
ara_Arab-srp_Latn,23232492,171081819,11542366,23232492,175512943,22986830,346594762
ell_Grek-ron_Latn,9619459,172857995,8690195,9619459,173205957,8677545,346063952
eng_Latn-mon_Cyrl,17100127,195038304,35376882,17100127,150833478,14798426,345871782
eng_Latn-hye_Armn,16303325,189770937,33419120,16303325,146233269,5966277,336004206
bul_Cyrl-nld_Latn,10493537,162812250,9194037,10493537,171806630,8927965,334618880
eng_Latn-jav_Latn,18775173,178181841,40235815,18775173,156268499,18561242,334450340
eng_Latn-hat_Latn,15656544,163197062,30800906,15656544,171006495,11770777,334203557
bul_Cyrl-ces_Latn,11141955,176130968,9754910,11141955,155352567,9688641,331483535
zho_Hani-deu_Latn,25986223,30924146,42201666,25986223,299480448,22425349,330404594
bul_Cyrl-ell_Grek,9479365,159062649,8606192,9479365,169335218,8516008,328397867
fin_Latn-ita_Latn,11446846,135770765,10035558,11446846,192499445,9709011,328270210
ces_Latn-ron_Latn,10371825,146279515,9031743,10371825,177480065,9055667,323759580
ell_Grek-pol_Latn,10419516,174261899,9069488,10419516,146857390,9472334,321119289
est_Latn-fra_Latn,11759971,131096639,9951030,11759971,186930859,9504750,318027498
eng_Latn-isl_Latn,14836221,161448161,28791296,14836221,155739128,11890303,317187289
deu_Latn-fas_Arab,13202989,147897299,11668875,13202989,168005707,9636848,315903006
ara_Arab-fin_Latn,21392227,173509828,11471218,21392227,140837492,19676304,314347320
spa_Latn-est_Latn,11438249,183326197,9540727,11438249,129999894,9755492,313326091
fin_Latn-nld_Latn,11357829,129593574,10052133,11357829,182800779,9819253,312394353
ara_Arab-dan_Latn,16369121,150075146,9806392,16369121,161846340,15499386,311921486
ces_Latn-hun_Latn,11331033,156662301,9710820,11331033,154256266,9895442,310918567
fin_Latn-por_Latn,10849045,127386464,9591889,10849045,182787236,9578379,310173700
ara_Arab-hrv_Latn,21558930,152364658,10105381,21558930,154679095,20968542,307043753
amh_Ethi-eng_Latn,15582214,126218999,3553163,15582214,179307150,31378350,305526149
spa_Latn-srp_Cyrl,12587431,163560054,10153432,12587431,140478071,10145248,304038125
ast_Latn-spa_Latn,6469787,148341270,6877606,6469787,154146582,6955815,302487852
ceb_Latn-eng_Latn,14768136,154447682,11825303,14768136,146493680,29797287,300941362
bul_Cyrl-slk_Latn,13338153,157418410,10571201,13338153,141070548,10516737,298488958
eng_Latn-glg_Latn,14007221,149007435,26256383,14007221,148545659,10536814,297553094
eng_Latn-pus_Arab,11696271,130992251,23141039,11696271,163301057,8906863,294293308
fra_Latn-srp_Cyrl,12327745,159701607,9592448,12327745,132153898,9825897,291855505
eng_Latn-ben_Beng,14488900,149923690,27265601,14488900,139585563,18158898,289509253
cat_Latn-por_Latn,12674365,144669857,9598178,12674365,139751570,9537618,284421427
ell_Grek-swe_Latn,9052611,149255918,7870488,9052611,133351836,7829619,282607754
ces_Latn-ell_Grek,9108956,128132112,7995777,9108956,153767847,7960340,281899959
ara_Arab-fas_Arab,12125633,127790234,7728567,12125633,153975592,8205712,281765826
fra_Latn-lav_Latn,9306433,145121174,7232828,9306433,132280202,10103747,277401376
ara_Arab-slv_Latn,17594526,140422886,9259853,17594526,136766911,16655274,277189797
spa_Latn-sqi_Latn,10586564,137327899,8367169,10586564,139170669,7877811,276498568
eng_Latn-tgk_Cyrl,13747259,153358981,27859964,13747259,122923094,10172041,276282075
spa_Latn-lav_Latn,9150110,143088775,7337089,9150110,130421226,9956294,273510001
eng_Latn-som_Latn,10937477,121893111,21395231,10937477,149946325,9399909,271839436
deu_Latn-hin_Deva,9198069,121257882,7503746,9198069,148028139,1969552,269286021
ces_Latn-slv_Latn,9880191,133032400,8299949,9880191,136167241,8199487,269199641
spa_Latn-hin_Deva,11724545,125344443,9191285,11724545,141929472,1491796,267273915
bul_Cyrl-swe_Latn,8850508,137023458,7695660,8850508,129729173,7591960,266752631
dan_Latn-fin_Latn,9481818,150092960,8864693,9481818,114284589,8521439,264377549
deu_Latn-srp_Cyrl,11982495,137899308,9622913,11982495,126034883,9532049,263934191
eng_Latn-pan_Guru,11385087,128709534,22808893,11385087,131202508,4629666,259912042
fra_Latn-hrv_Latn,9152786,143270106,7338532,9152786,116278720,7988838,259548826
deu_Latn-kor_Hang,14500860,139693735,11463344,14500860,116582397,10419420,256276132
dan_Latn-ron_Latn,7745344,121633008,7051198,7745344,134493344,6781864,256126352
dan_Latn-ell_Grek,7579341,122239204,7064249,7579341,133621073,6712842,255860277
deu_Latn-zho_Hani,18166621,223497229,15162566,18166621,30596417,31569029,254093646
bul_Cyrl-hun_Latn,8298137,135164970,7240552,8298137,117699555,7413128,252864525
guj_Gujr-tel_Telu,8921292,136260270,7992435,8921292,114738024,8414864,250998294
fra_Latn-hin_Deva,11320527,120071492,8462380,11320527,130780080,1570340,250851572
ara_Arab-nor_Latn,11814167,122017121,7698221,11814167,128682419,10760669,250699540
eng_Latn-ori_Orya,13855319,124010624,27588697,13855319,126081496,2012005,250092120
eng_Latn-sun_Latn,12519533,133862965,27538241,12519533,115684553,13639878,249547518
eng_Latn-kat_Geor,12641894,149694974,27530693,12641894,99658124,10000266,249353098
cat_Latn-ita_Latn,11444494,126495026,8484541,11444494,121407192,8276064,247902218
deu_Latn-ukr_Cyrl,10529247,129469289,8869328,10529247,116177028,8488788,245646317
bul_Cyrl-dan_Latn,7568256,124603742,6674182,7568256,120474300,6923187,245078042
guj_Gujr-kan_Knda,8743377,137457456,7926183,8743377,107617698,8086387,245075154
fin_Latn-pol_Latn,9961642,110428800,8604263,9961642,133569255,8869081,243998055
eng_Latn-afr_Latn,10434862,119489998,20120199,10434862,123359573,8000305,242849571
deu_Latn-sqi_Latn,10765912,115755731,8518163,10765912,125818365,8007903,241574096
eng_Latn-pap_Latn,15232832,120668684,28621141,15232832,120789324,9042813,241458008
fas_Arab-fra_Latn,8300559,120995619,6568656,8300559,120226092,6811216,241221711
zho_Hani-ita_Latn,18001568,21048704,28034167,18001568,219443513,15820439,240492217
ara_Arab-slk_Latn,12014522,120457829,7720154,12014522,119619306,11118261,240077135
ell_Grek-slk_Latn,7615727,130006932,6510130,7615727,108997394,6607029,239004326
ell_Grek-hun_Latn,7598499,130531634,6590901,7598499,107537469,6842761,238069103
bul_Cyrl-slv_Latn,9938057,123052817,7968335,9938057,111877730,7784835,234930547
bul_Cyrl-fra_Latn,10329206,110666545,8641747,10329206,123688835,8020752,234355380
spa_Latn-ukr_Cyrl,8623095,129889368,7176143,8623095,103732250,6997235,233621618
dan_Latn-slk_Latn,7894427,121437434,7019804,7894427,111946991,6788919,233384425
est_Latn-rus_Cyrl,10124260,108819297,8790889,10124260,123745602,8638134,232564899
fas_Arab-por_Latn,9839199,120091011,7132406,9839199,112406395,7918194,232497406
eng_Latn-snd_Arab,10733207,108404349,20910021,10733207,121862093,8208099,230266442
dan_Latn-hun_Latn,7728854,120852684,6996740,7728854,109023252,6971580,229875936
bul_Cyrl-spa_Latn,9584380,107804000,7825757,9584380,119256069,7520771,227060069
ind_Latn-nep_Deva,6563010,115590633,6735729,6563010,108758067,494545,224348700
ces_Latn-fin_Latn,8902694,120420065,7744687,8902694,100386461,7751011,220806526
ces_Latn-tur_Latn,14350528,113042451,10712201,14350528,103209349,10638398,216251800
bul_Cyrl-lit_Latn,7060660,118633313,6294402,7060660,96078891,6560359,214712204
fin_Latn-rus_Cyrl,10346444,95966975,8564387,10346444,114346889,8499147,210313864
est_Latn-ita_Latn,7098249,88674206,6239732,7098249,120144867,5975330,208819073
ces_Latn-ita_Latn,10016229,95924444,7653781,10016229,112026574,7187752,207951018
ces_Latn-vie_Latn,9949219,83138094,7662498,9949219,124204273,6616717,207342367
heb_Hebr-por_Latn,11270874,91600071,7968388,11270874,114541657,8486782,206141728
